CountVectorizer_0,Multinomial_0,Filtros,max_df,min_df,Accuraci
0,0,1,0.6,70,0.876789817924695
1,0,1,0.6,70,0.8828884567792116
0,0,2,0.9,100,0.85124624359201
1,0,2,0.9,100,0.8704260208591126
0,0,2,0.9,90,0.8623828884567792
1,0,2,0.9,90,0.8771433622061163
0,0,2,0.9,80,0.8734311472511932
1,0,2,0.9,80,0.8844794060456073
0,0,2,0.9,70,0.8788226975428672
1,0,2,0.9,70,0.8866006717341347
0,0,2,0.8,100,0.85124624359201
1,0,2,0.8,100,0.8704260208591126
0,0,2,0.8,90,0.8623828884567792
1,0,2,0.8,90,0.8771433622061163
0,0,2,0.8,80,0.8734311472511932
1,0,2,0.8,80,0.8844794060456073
0,0,2,0.8,70,0.8788226975428672
1,0,2,0.8,70,0.8866006717341347
0,0,2,0.7,100,0.85124624359201
1,0,2,0.7,100,0.8704260208591126
0,0,2,0.7,90,0.8623828884567792
1,0,2,0.7,90,0.8771433622061163
0,0,2,0.7,80,0.8734311472511932
1,0,2,0.7,80,0.8844794060456073
0,0,2,0.7,70,0.8788226975428672
1,0,2,0.7,70,0.8866006717341347
0,0,2,0.6,100,0.8524836485769842
1,0,2,0.6,100,0.8700724765776914
0,0,2,0.6,90,0.8637970655824642
1,0,2,0.6,90,0.8775852925578929
0,0,2,0.6,80,0.8744917800954569
1,0,2,0.6,80,0.8846561781863178
0,0,2,0.6,70,0.8802368746685523
1,0,2,0.6,70,0.8862471274527135
0,0,3,0.9,100,0.8565494078133287
1,0,3,0.9,100,0.8738730776029697
0,0,3,0.9,90,0.8654764009192152
1,0,3,0.9,90,0.8797949443167756
0,0,3,0.9,80,0.8733427611808379
1,0,3,0.9,80,0.8856284249602263
0,0,3,0.9,70,0.8788226975428672
1,0,3,0.9,70,0.889782570266926
0,0,3,0.8,100,0.8565494078133287
1,0,3,0.8,100,0.8738730776029697
0,0,3,0.8,90,0.8654764009192152
1,0,3,0.8,90,0.8797949443167756
0,0,3,0.8,80,0.8733427611808379
1,0,3,0.8,80,0.8856284249602263
0,0,3,0.8,70,0.8788226975428672
1,0,3,0.8,70,0.889782570266926
0,0,3,0.7,100,0.8565494078133287
1,0,3,0.7,100,0.8738730776029697
0,0,3,0.7,90,0.8654764009192152
1,0,3,0.7,90,0.8797949443167756
